symbol
EP400
HCFC1
ZBTB33
TRRAP
TAF6L
ACTL6A
CCAR2
BRD4
TAF9B
SUPT20H
EPC1
DMAP1
SF3B2
TAF5L
MAX
EPC2
TADA1
VPS72
KAT5
MYC
DIDO1
ARID1A
NSUN2
PPP1R10
SUPT7L
CCDC101
ING3
SUPT3H
TAF10
MED1
TAF12
SMEK1
YEATS4
RPA1
KDM3B
ADNP
CHD8
RBM27
NELFE
TRIM24
SIN3B
MBTD1
YEATS2
SPEN
SMARCA4
TADA2B
PES1
TADA3
FIP1L1
CDC5L
SNW1
MGA
SF1
LRWD1
PFDN5
OGT
ARID3B
TRIM33
TAF9
RPA2
BAG2
SETD1A
BAP1
ZMYM2
ATXN7L2
WDR36
VBP1
SUGP1
SMARCE1
ARID1B
MRTO4
THAP11
TCF20
GTF2F1
ZMYND8
RPRD2
PFDN6
NELFA
UTP14A
GTF2F2
U2SURP
USP7
MBD3
NOC3L
HDAC2
XAB2
KANSL3
MGEA5
KMT2B
HMGXB4
KMT2A
SPDL1
ZC3H14
SIN3A
WAC
MEAF6
WDR5
KDM1A
JMJD1C
TCERG1
GTF2I
CDC73
CCNK
CFDP1
IRF2BP2
TPX2
LIN54
LUC7L3
USP22
NFRKB
PPIL1
DPY30
NUP50
PFDN2
RBM10
ELAC2
FUS
NFIA
WIZ
ZC3H11A
WRNIP1
DGCR14
HEXIM1
WDR3
NCAPH
MED23
TBPL1
MLH1
XRN2
NAT10
RPRD1B
CPSF7
PRPF3
TLE3
